Designator,Mid X,Mid Y,Layer,Rotation
C16,158.75,208.28,Bottom,270
C17,151.13,184.15,Bottom,270
C18,134.62,208.28,Bottom,270
C19,135.89,194.44,Bottom,270
C20,123.32,210.57,Bottom,90
C21,107.82,210.44,Bottom,90
C22,180.47,193.8,Bottom,270
C23,180.34,181.36,Bottom,270
C24,158.37,194.31,Bottom,270
C25,151.13,191.77,Bottom,270
C26,136.65,182.88,Bottom,270
C27,123.95,182.5,Bottom,90
C28,180.98,171.45,Bottom,270
C29,180.98,166.24,Bottom,270
C30,180.09,156.21,Bottom,270
C31,162.18,158.5,Bottom,90
C32,156.08,163.07,Bottom,90
C33,143.51,139.7,Bottom,270
C34,143.51,148.59,Bottom,90
C35,134.62,170.18,Bottom,270
C36,134.62,157.48,Bottom,270
C37,131.44,145.42,Bottom,270
C38,8.64,151.38,Bottom,270
C39,180.34,122.05,Bottom,90
C40,156.72,133.35,Bottom,90
C41,134.62,133.99,Bottom,270
C42,120.52,127,Bottom,90
C43,105.16,127,Bottom,90
C44,67.31,38.1,Bottom,90
C45,67.31,27.94,Bottom,90
C46,52.2,47.63,Bottom,90
C47,196.85,109.22,Bottom,90
C48,167.64,116.08,Bottom,90
C49,139.7,115.95,Bottom,90
C50,46.99,33.02,Bottom,90
C51,196.85,101.85,Bottom,90
C52,186.06,92.08,Bottom,270
C53,133.35,97.28,Bottom,90
C54,130.81,78.74,Bottom,270
C55,123.32,106.68,Bottom,90
C56,121.03,106.68,Bottom,90
C57,81.92,94.74,Bottom,270
C58,82.55,108.08,Bottom,90
C59,56.64,88.77,Bottom,270
C60,46.99,89.66,Bottom,270
C61,31.24,88.65,Bottom,270
C62,173.99,71.63,Bottom,90
C63,101.09,72.52,Bottom,270
C64,56.64,70.99,Bottom,270
C65,43.94,70.99,Bottom,270
C66,31.24,70.99,Bottom,270
C67,203.2,44.45,Bottom,270
C68,193.04,48.77,Bottom,90
C69,166.88,48.26,Bottom,90
C70,132.08,24.13,Bottom,270
C71,119.89,24.13,Bottom,270
C72,201.04,29.85,Bottom,270
C73,201.17,10.41,Bottom,90
C74,154.94,20.32,Bottom,90
C75,110.24,24.13,Bottom,270
C76,92.71,33.02,Bottom,270
C77,83.82,22.86,Bottom,270
C81,34.29,24.13,Bottom,270
C83,142.24,207.01,Bottom,270
C84,149.86,207.01,Bottom,270
D4,27.94,198.12,Bottom,270
D5,48.26,198.12,Bottom,270
D6,27.94,190.5,Bottom,270
D7,48.26,190.5,Bottom,270
D8,27.94,180.34,Bottom,270
D9,48.26,180.34,Bottom,270
D10,27.94,172.72,Bottom,270
D11,48.26,172.72,Bottom,270
D12,27.94,165.1,Bottom,270
D13,48.26,165.1,Bottom,270
D14,27.94,154.94,Bottom,270
D15,48.26,154.94,Bottom,270
D16,27.94,148.59,Bottom,270
D17,48.26,148.59,Bottom,270
D18,27.94,142.24,Bottom,270
D19,48.26,142.24,Bottom,270
R1,212.34,200.79,Bottom,270
R2,214.88,200.79,Bottom,270
R3,189.23,205.74,Bottom,270
R4,184.15,205.74,Bottom,270
R5,171.45,208.28,Bottom,90
R6,170.43,201.42,Bottom,90
R7,157.99,201.93,Bottom,90
R8,147.32,184.15,Bottom,270
R9,143.51,184.15,Bottom,270
R10,144.78,207.01,Bottom,90
R11,171.45,194.31,Bottom,270
R12,169.04,179.96,Bottom,270
R13,158.75,180.09,Bottom,270
R14,143.51,191.77,Bottom,270
R15,147.32,191.77,Bottom,270
R16,105.41,177.8,Bottom,90
R17,119.76,162.56,Bottom,90
R18,105.41,170.18,Bottom,90
R19,98.55,162.43,Bottom,90
R20,149.86,133.35,Bottom,90
R21,154.43,133.35,Bottom,270
R22,152.15,133.35,Bottom,90
R23,121.03,143.51,Bottom,90
R24,150.24,119.89,Bottom,90
R25,112.52,127,Bottom,90
R26,115.57,119.38,Bottom,90
R27,41.91,33.02,Bottom,90
R28,112.27,101.6,Bottom,270
R29,105.16,106.68,Bottom,270
R30,201.93,59.69,Bottom,90
R31,196.22,20.19,Bottom,270
R32,173.99,15.75,Bottom,90
R33,170.18,15.75,Bottom,90
R34,147.32,207.01,Bottom,270
L8,193.04,114.30,Bottom,90.0
L9,193.04,107.95,Bottom,90.0
L10,193.04,101.60,Bottom,90.0
L11,149.22,107.95,Bottom,270.0
L12,128.40,129.92,Bottom,90.0
L13,128.27,123.19,Bottom,90.0
L14,128.27,114.30,Bottom,90.0
L15,115.06,108.08,Bottom,270.0
L16,193.04,95.25,Bottom,270.0
L17,182.88,92.58,Bottom,270.0
L18,201.93,84.45,Bottom,270.0
L19,201.93,77.47,Bottom,270.0
L20,201.93,70.36,Bottom,270.0
L21,176.40,71.12,Bottom,270.0
L22,201.93,52.07,Bottom,90.0
